home_goals_scored_L5,home_goals_conceded_L5,home_goal_diff_L5,home_goals_scored_L10,home_goals_conceded_L10,home_goal_diff_L10,home_shots_L5,home_shots_on_target_L5,home_shots_L10,home_shots_on_target_L10,home_corners_L5,home_corners_L10,home_fouls_L5,home_yellow_cards_L5,home_fouls_L10,home_yellow_cards_L10,away_goals_scored_L5,away_goals_conceded_L5,away_goal_diff_L5,away_goals_scored_L10,away_goals_conceded_L10,away_goal_diff_L10,away_shots_L5,away_shots_on_target_L5,away_shots_L10,away_shots_on_target_L10,away_corners_L5,away_corners_L10,away_fouls_L5,away_yellow_cards_L5,away_fouls_L10,away_yellow_cards_L10,home_win_streak,away_win_streak,home_form_L5,away_form_L5,h2h_home_wins,h2h_away_wins,goal_diff_interaction,form_interaction,shots_efficiency_home,shots_efficiency_away,FTR
1.6,1.8,-0.19999999999999996,1.5,1.7,-0.19999999999999996,12.8,7.2,12.1,6.9,7.0,6.3,12.2,1.4,13.5,1.8,0.4,2.0,-1.6,0.9,1.2,-0.29999999999999993,8.6,4.0,8.0,3.8,4.0,4.0,12.4,1.4,13.5,1.2,1.0,1.0,6.0,12.0,0.0,0.0,0.31999999999999995,72.0,0.5217391304347826,0.4166666666666667,A
1.6,1.0,0.6000000000000001,1.1111111111111112,0.8888888888888888,0.22222222222222232,9.6,5.0,10.444444444444445,5.666666666666667,4.8,5.777777777777778,17.2,1.6,17.11111111111111,1.5555555555555556,1.2,1.0,0.19999999999999996,1.0,1.2,-0.19999999999999996,10.0,5.6,8.6,4.8,7.2,5.6,14.4,2.6,16.1,2.8,3.0,2.0,11.0,7.0,0.0,1.0,0.12,77.0,0.4716981132075472,0.509090909090909,A
2.2,0.8,1.4000000000000001,1.5,0.7,0.8,13.4,6.4,11.5,5.7,8.2,6.4,12.4,1.4,13.5,1.5,2.0,1.4,0.6000000000000001,1.4,1.7,-0.30000000000000004,10.6,6.2,9.2,5.0,5.6,5.5,15.0,2.8,14.3,2.0,4.0,2.0,13.0,3.0,0.0,0.0,0.8400000000000002,39.0,0.4444444444444445,0.5344827586206897,D
1.8,0.4,1.4,1.5,1.3,0.19999999999999996,8.4,5.2,9.8,5.7,4.0,4.6,12.2,0.8,13.3,0.9,1.2,2.6,-1.4000000000000001,0.8888888888888888,1.8888888888888888,-1.0,8.0,4.2,6.333333333333333,3.5555555555555554,4.2,4.0,15.0,1.8,15.444444444444445,1.8888888888888888,3.0,0.0,10.0,15.0,0.0,0.0,-1.96,150.0,0.5531914893617021,0.4666666666666667,A
3.0,0.4,2.6,2.0,0.6,1.4,17.4,10.2,16.2,8.7,8.4,7.5,11.0,1.0,12.7,1.4,2.0,0.6,1.4,1.3333333333333333,0.7777777777777778,0.5555555555555555,12.0,7.0,12.777777777777779,6.666666666666667,3.8,4.222222222222222,13.6,2.2,13.333333333333334,2.2222222222222223,4.0,4.0,13.0,1.0,0.0,0.0,3.6399999999999997,13.0,0.5543478260869565,0.5384615384615384,H
2.0,0.4,1.6,2.7,0.6,2.1,13.4,8.0,14.1,7.8,5.8,6.1,14.0,1.0,12.4,1.0,0.8,2.4,-1.5999999999999999,1.4444444444444444,1.5555555555555556,-0.11111111111111116,8.4,5.0,9.333333333333334,5.0,4.4,3.888888888888889,12.8,2.0,13.11111111111111,1.5555555555555556,5.0,1.0,15.0,12.0,0.0,1.0,-2.56,180.0,0.5555555555555556,0.5319148936170213,D
1.0,2.2,-1.2000000000000002,1.5,1.5,0.0,8.2,4.0,10.2,4.8,4.4,4.3,12.6,1.8,12.4,1.3,0.8,1.6,-0.8,0.7,1.6,-0.9000000000000001,8.4,3.6,9.1,3.6,4.2,4.6,12.8,1.8,12.6,1.9,1.0,0.0,3.0,13.0,0.0,1.0,0.9600000000000002,39.0,0.4347826086956522,0.3829787234042553,H
1.6,1.2,0.40000000000000013,1.2,1.6,-0.40000000000000013,11.4,4.6,11.6,4.9,4.6,4.0,15.6,1.2,14.7,1.2,0.6,1.4,-0.7999999999999999,0.4,1.7,-1.2999999999999998,5.8,3.4,6.0,3.3,4.2,3.8,10.8,1.0,11.7,1.1,3.0,1.0,9.0,10.0,0.0,1.0,-0.32000000000000006,90.0,0.3709677419354838,0.5,D
2.0,1.2,0.8,1.8,1.2,0.6000000000000001,9.6,5.8,9.2,5.3,5.6,4.8,12.0,1.6,12.9,1.4,1.4,1.4,0.0,1.2,1.2,0.0,7.2,4.2,8.1,5.0,5.4,4.9,13.0,1.6,12.9,1.8,4.0,2.0,13.0,7.0,1.0,0.0,0.0,91.0,0.5471698113207547,0.5121951219512195,H
0.2,1.2,-1.0,0.6,1.8,-1.2000000000000002,9.2,5.4,9.7,5.5,4.4,4.9,11.4,0.6,12.1,0.9,0.4,2.6,-2.2,1.0,2.0,-1.0,9.2,4.4,10.8,5.0,3.4,4.2,15.0,1.4,13.5,1.3,0.0,0.0,1.0,13.0,0.0,1.0,2.2,13.0,0.5294117647058825,0.4313725490196079,A
