FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,homeTeamID,awayTeamID,RecentGoalAvg_Home,RecentGoalAvg_Away,WinStreak_Home,WinStreak_Away,LosingStreak_Home,LosingStreak_Away,HS_RollingAvg_Home,HS_RollingAvg_Away,HST_RollingAvg_Home,HST_RollingAvg_Away,HC_RollingAvg_Home,HC_RollingAvg_Away,HF_RollingAvg_Home,HF_RollingAvg_Away,HY_RollingAvg_Home,HY_RollingAvg_Away,FTHG_RollingAvg_Home,FTHG_RollingAvg_Away,FTAG_RollingAvg_Home,FTAG_RollingAvg_Away,GoalDifference,FTHG_Standardized,FTAG_Standardized,HS_Standardized,AS_Standardized,GoalDifference_Standardized,HistoricalPerformance_Home,HistoricalPerformance_Away,ImpliedProbability_HomeWin,ImpliedProbability_AwayWin,ImpliedProbability_Draw
1.0,0.0,H,1.0,0.0,H,13.0,15.0,7.0,6.0,20.0,17.0,1.0,7.0,2.0,1.0,0.0,0.0,4.2,3.4,1.91,29.0,3.0,2.0,1.2,1,0,0,1,10.0,15.0,5.0,8.0,4.8,6.6,13.0,12.0,1.0,1.8,2.0,2.2,0.8,1.2,1.0,-0.4125195608888655,-1.0245808143672315,-0.15025006654103176,0.8076548126575658,0.35475107559873925,1.0666666666666667,1.3414634146341464,0.23809523809523808,0.5235602094240838,0.29411764705882354
0.0,1.0,A,0.0,1.0,A,10.0,9.0,2.0,2.0,7.0,15.0,1.0,3.0,1.0,3.0,0.0,0.0,3.4,3.75,2.05,16.0,11.0,2.0,1.0,0,2,2,0,11.0,15.2,4.2,4.4,5.8,5.6,9.8,10.2,1.0,1.4,2.0,1.0,1.4,1.0,-1.0,-1.171928317535996,-0.16974048781750994,-0.6973498176284842,-0.4380601745812331,-0.7278757128818752,1.5944055944055944,1.6369426751592357,0.29411764705882354,0.48780487804878053,0.26666666666666666
1.0,1.0,D,1.0,0.0,H,5.0,11.0,2.0,6.0,20.0,17.0,5.0,3.0,7.0,4.0,0.0,0.0,2.4,3.2,3.1,18.0,14.0,1.6,0.6,0,0,0,0,12.2,14.8,7.0,9.2,5.4,7.8,14.6,14.2,2.8,3.0,1.6,2.6,1.0,0.6,0.0,-0.4125195608888655,-0.16974048781750994,-1.6091827361075717,-0.022821845501633464,-0.18656231864156803,0.7222222222222222,0.9135802469135802,0.4166666666666667,0.3225806451612903,0.3125
0.0,3.0,A,0.0,1.0,A,11.0,18.0,3.0,5.0,6.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,4.5,3.5,1.83,16.0,11.0,0.8,1.8,0,2,1,0,9.4,13.8,2.8,5.2,4.8,7.8,9.8,10.4,1.8,2.8,0.8,1.2,1.8,1.8,-3.0,-1.171928317535996,1.539940165281933,-0.5149832339326668,1.4305123062769654,-1.8105025013624896,1.5080213903743316,1.5653333333333332,0.2222222222222222,0.5464480874316939,0.2857142857142857
1.0,2.0,A,1.0,1.0,D,14.0,8.0,3.0,4.0,11.0,15.0,5.0,3.0,3.0,4.0,0.0,0.0,2.45,3.3,3.2,2.0,21.0,1.6,1.0,0,1,3,0,13.8,14.4,3.6,5.0,4.8,4.8,10.8,10.0,1.8,1.8,1.6,1.4,1.4,1.0,-1.0,-0.4125195608888655,0.6850998387322115,0.032116517154785744,-0.6456793391210329,-0.7278757128818752,1.06,1.2142857142857142,0.4081632653061224,0.3125,0.30303030303030304
0.0,0.0,D,0.0,0.0,D,12.0,9.0,3.0,4.0,5.0,6.0,5.0,4.0,0.0,1.0,0.0,0.0,2.2,3.6,3.4,32.0,14.0,1.4,1.0,0,0,0,0,18.8,13.8,6.4,4.4,7.8,4.4,8.2,9.8,0.4,0.8,1.4,1.6,0.4,1.0,0.0,-1.171928317535996,-1.0245808143672315,-0.3326166502368492,-0.4380601745812331,-0.18656231864156803,1.2954545454545454,1.0,0.45454545454545453,0.29411764705882354,0.2777777777777778
3.0,0.0,H,2.0,0.0,H,17.0,10.0,8.0,4.0,21.0,6.0,3.0,4.0,2.0,2.0,0.0,0.0,1.7,4.1,4.5,15.0,17.0,2.0,1.4,1,0,0,1,13.6,13.0,6.2,5.8,5.6,5.6,13.6,14.0,2.8,3.2,2.0,2.2,1.2,1.4,3.0,1.1062979524053955,-1.0245808143672315,0.5792162682422383,-0.23044101004143328,1.4373778640793538,2.022598870056497,1.1418918918918919,0.5882352941176471,0.2222222222222222,0.24390243902439027
5.0,2.0,H,2.0,1.0,H,17.0,6.0,7.0,4.0,9.0,11.0,11.0,1.0,1.0,0.0,0.0,1.0,1.5,4.2,6.5,9.0,5.0,2.6,2.2,2,0,0,8,13.6,11.6,7.0,4.2,5.8,6.2,11.2,13.4,1.2,1.4,2.6,1.6,1.0,2.2,3.0,2.6251154656996567,0.6850998387322115,0.5792162682422383,-1.0609176682006325,1.4373778640793538,1.6724738675958188,0.8601036269430051,0.6666666666666666,0.15384615384615385,0.23809523809523808
3.0,0.0,H,0.0,0.0,D,20.0,9.0,8.0,5.0,10.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,1.44,4.75,7.0,16.0,32.0,1.0,1.6,1,0,0,1,14.0,11.8,4.8,4.0,6.6,6.4,11.6,9.6,1.2,0.6,1.0,1.4,1.0,1.6,3.0,1.1062979524053955,-1.0245808143672315,1.1263160193296906,-0.4380601745812331,1.4373778640793538,1.6037735849056605,0.7256637168141593,0.6944444444444444,0.14285714285714285,0.21052631578947367
1.0,1.0,D,0.0,0.0,D,16.0,5.0,3.0,2.0,10.0,10.0,2.0,3.0,0.0,1.0,0.0,0.0,1.75,3.5,5.25,18.0,14.0,1.2,1.8,0,0,0,0,12.6,15.0,3.0,5.6,5.4,5.4,9.8,12.4,0.8,1.0,1.2,1.6,1.4,1.8,0.0,-0.4125195608888655,-0.16974048781750994,0.3968496845464207,-1.2685368327404325,-0.18656231864156803,1.2083333333333333,0.9395161290322581,0.5714285714285714,0.19047619047619047,0.2857142857142857
1.0,0.0,H,0.0,0.0,D,8.0,13.0,2.0,8.0,10.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,2.4,3.6,3.0,1.0,35.0,0.8,1.4,3,0,0,2,11.8,12.2,3.6,4.2,5.4,7.6,8.6,9.6,1.2,0.6,0.8,1.0,0.6,1.4,1.0,-0.4125195608888655,-1.0245808143672315,-1.0620829850201192,0.39241648357796616,0.35475107559873925,1.4148936170212767,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.2777777777777778
0.0,1.0,A,0.0,1.0,A,9.0,16.0,3.0,10.0,13.0,13.0,3.0,5.0,3.0,1.0,0.0,0.0,5.0,3.6,1.66,31.0,15.0,2.0,0.6,0,1,1,0,11.0,12.6,5.4,7.0,5.2,4.8,11.8,12.6,2.2,1.6,2.0,1.6,1.0,0.6,-1.0,-1.171928317535996,-0.16974048781750994,-0.8797164013243017,1.0152739771973656,-0.7278757128818752,1.4642857142857142,1.3333333333333333,0.2,0.6024096385542169,0.2777777777777778
2.0,1.0,H,2.0,1.0,H,8.0,14.0,6.0,7.0,19.0,13.0,9.0,8.0,2.0,1.0,0.0,0.0,2.2,3.25,3.2,1.0,31.0,2.4,1.6,1,0,0,2,14.2,11.4,9.4,6.0,8.6,7.0,12.8,14.0,0.8,2.2,2.4,1.6,1.0,1.6,1.0,0.346889195758265,-0.16974048781750994,-1.0620829850201192,0.600035648117766,0.35475107559873925,1.3658536585365855,1.048780487804878,0.45454545454545453,0.3125,0.3076923076923077
0.0,3.0,A,0.0,1.0,A,14.0,19.0,7.0,9.0,9.0,13.0,6.0,3.0,1.0,2.0,0.0,0.0,1.22,5.75,15.0,15.0,29.0,0.8,1.0,0,1,1,0,13.6,14.8,7.0,8.4,5.6,5.4,10.6,12.2,2.0,1.8,0.8,1.4,1.6,1.0,-3.0,-1.171928317535996,1.539940165281933,0.032116517154785744,1.6381314708167651,-1.8105025013624896,2.320388349514563,0.7619047619047619,0.819672131147541,0.06666666666666667,0.17391304347826086
2.0,0.0,H,0.0,0.0,D,15.0,6.0,5.0,1.0,11.0,12.0,3.0,5.0,1.0,2.0,0.0,0.0,2.7,3.3,2.63,23.0,16.0,1.6,1.4,1,0,0,1,13.4,18.0,5.2,5.4,3.6,4.8,12.0,10.0,2.0,1.6,1.6,1.6,0.6,1.4,2.0,0.346889195758265,-1.0245808143672315,0.21448310085060324,-1.0609176682006325,0.8960644698390464,1.25,1.460122699386503,0.37037037037037035,0.3802281368821293,0.30303030303030304
0.0,5.0,A,0.0,3.0,A,20.0,13.0,13.0,9.0,14.0,1.0,5.0,7.0,2.0,0.0,0.0,0.0,9.0,4.5,1.4,31.0,11.0,2.0,1.8,0,1,3,0,18.0,17.4,11.0,11.0,7.4,5.6,8.0,11.2,1.2,1.4,2.0,2.8,1.6,1.8,-5.0,-1.171928317535996,3.2496208183813757,1.1263160193296906,0.39241648357796616,-2.8931292898431042,1.411764705882353,1.7118644067796611,0.1111111111111111,0.7142857142857143,0.2222222222222222
1.0,1.0,D,0.0,1.0,A,11.0,12.0,3.0,8.0,18.0,12.0,3.0,6.0,3.0,3.0,0.0,0.0,2.5,3.3,3.1,30.0,9.0,0.8,1.2,0,0,0,0,10.6,15.0,3.0,4.4,3.4,5.8,11.4,11.6,2.2,2.2,0.8,1.0,1.4,1.2,0.0,-0.4125195608888655,-0.16974048781750994,-0.5149832339326668,0.18479731903816635,-0.18656231864156803,1.4578313253012047,1.1071428571428572,0.4,0.3225806451612903,0.30303030303030304
